System,Dataset,LR_Time,DL_Time
batlik,corona.csv,0.003272223472595215,8.836243605613708
batlik,cranium.csv,0.003766655921936035,7.25409517288208
batlik,cubus.csv,0.002798175811767578,6.287309265136718
batlik,flame.csv,0.003654789924621582,7.308249497413636
batlik,france.csv,0.003362751007080078,6.205659961700439
batlik,frisco.csv,0.0035994768142700194,5.687765884399414
batlik,jelly.csv,0.003250455856323242,8.348596119880677
batlik,karte.csv,0.0037512779235839844,5.99352798461914
batlik,mandelbrot.csv,0.0034510612487792967,9.186104226112366
batlik,strawberry.csv,0.003298377990722656,8.062356853485108
batlik,village.csv,0.0037518739700317383,7.237824082374573
dconvert,jpeg-large.csv,0.003665590286254883,10.512301087379456
dconvert,jpeg-medium.csv,0.0034989356994628907,12.731812047958375
dconvert,jpeg-small.csv,0.003972697257995606,14.76873321533203
dconvert,png-large.csv,0.003000974655151367,10.740909218788147
dconvert,png-medium.csv,0.003092026710510254,8.561865210533142
dconvert,png-small.csv,0.003199601173400879,9.842074394226074
dconvert,psd-large.csv,0.0034000635147094726,8.624055433273316
dconvert,psd-medium.csv,0.0033011436462402344,9.80983009338379
dconvert,psd-small.csv,0.0033998012542724608,10.363224506378174
dconvert,svg-large.csv,0.0037015676498413086,12.530290532112122
dconvert,svg-medium.csv,0.003303980827331543,12.409436297416686
dconvert,svg-small.csv,0.002761054039001465,9.932655549049377
h2,smallbank-1.csv,0.00265657901763916,6.476474118232727
h2,smallbank-10.csv,0.002399587631225586,5.294214129447937
h2,tpcc-2.csv,0.0022686243057250975,5.345361828804016
h2,tpcc-8.csv,0.0021005868911743164,4.738322687149048
h2,voter-16.csv,0.0020991802215576173,6.535118484497071
h2,voter-2.csv,0.002100038528442383,6.279178190231323
h2,ycsb-2400.csv,0.0023999691009521486,5.74843955039978
h2,ycsb-600.csv,0.0020681142807006834,6.314983797073364
jump3r,beethoven.wav.csv,0.00260009765625,11.666113829612732
jump3r,dual-channel.wav.csv,0.002899169921875,9.900512433052063
jump3r,helix.wav.csv,0.002999019622802734,8.006050968170166
jump3r,single-channel.wav.csv,0.002932882308959961,10.230424547195435
jump3r,speech.wav.csv,0.0028017282485961912,9.743804907798767
jump3r,sweep.wav.csv,0.002665066719055176,7.883365797996521
kanzi,ambivert.csv,0.0043005704879760746,9.510443472862244
kanzi,artificl.csv,0.0031723737716674804,9.617069530487061
kanzi,deepfield.csv,0.0033266305923461913,10.06094274520874
kanzi,enwik8.csv,0.0028618812561035157,9.983433032035828
kanzi,fannie_mae_500k.csv,0.0027993440628051756,8.874568605422974
kanzi,large.csv,0.003800702095031738,9.710658526420593
kanzi,misc.csv,0.0031994342803955077,8.792660021781922
kanzi,silesia.csv,0.003233599662780762,9.26658844947815
kanzi,vmlinux.csv,0.0031366825103759767,7.731571650505066
lrzip,ambivert.wav.tar.csv,0.0020998716354370117,3.1513247728347777
lrzip,artificl.tar.csv,0.0021000146865844727,3.447309160232544
lrzip,deepfield.tar.csv,0.0023995637893676758,4.026853704452515
lrzip,enwik8.tar.csv,0.0020501375198364257,3.233619284629822
lrzip,fannie_mae_500k.tar.csv,0.0020997047424316405,3.828558921813965
lrzip,large.tar.csv,0.0024088382720947265,4.079569482803345
lrzip,misc.tar.csv,0.0023998022079467773,3.9296130418777464
lrzip,silesia.tar.csv,0.002415108680725098,3.459915375709534
lrzip,uiq-32.bin.csv,0.0019998788833618165,3.6131505489349367
lrzip,uiq2-16.bin.csv,0.00200192928314209,4.180844688415528
lrzip,uiq2-4.bin.csv,0.0023025035858154296,3.2232279062271116
lrzip,uiq2-8.bin.csv,0.0019997358322143555,3.096760869026184
lrzip,vmlinux-5.10.tar.csv,0.0019173622131347656,3.7650160074234007
x264,blue_sky_1080p25_short.y4m.csv,0.002825140953063965,7.672462916374206
x264,Johnny_1280x720_60_short.y4m.csv,0.0031992435455322266,5.95523886680603
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.002948284149169922,6.316858983039856
x264,pedestrian_area_1080p25_short.y4m.csv,0.0028652191162109376,7.0026456117630005
x264,riverbed_1080p25_short.y4m.csv,0.0028502225875854494,6.689994215965271
x264,sd_bridge_close_cif_short.y4m.csv,0.003020787239074707,7.5943564653396605
x264,sd_city_4cif_short.y4m.csv,0.0030862569808959963,5.891401648521423
x264,sd_crew_cif_short.y4m.csv,0.0030555248260498045,8.80376377105713
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.002971339225769043,7.785924816131592
xz,ambivert.wav.tar.csv,0.003300762176513672,5.908509588241577
xz,artificl.tar.csv,0.0028135299682617186,9.547642874717713
xz,deepfield.tar.csv,0.002700543403625488,6.674757170677185
xz,enwik8.tar.csv,0.00296480655670166,7.2762880563735965
xz,fannie_mae_500k.tar.csv,0.003200387954711914,6.472754907608032
xz,large.tar.csv,0.002900981903076172,6.7384340286254885
xz,misc.tar.csv,0.0027991533279418945,7.505456209182739
xz,silesia.tar.csv,0.0031128168106079102,7.263600611686707
xz,uiq-32.bin.csv,0.003099393844604492,7.309519410133362
xz,uiq2-16.bin.csv,0.0031128644943237303,6.606271767616272
xz,uiq2-4.bin.csv,0.0032996892929077148,8.435747289657593
xz,uiq2-8.bin.csv,0.0030048370361328127,7.8936920166015625
xz,vmlinux-5.10.tar.csv,0.0030008792877197266,6.5092720031738285
z3,AUFNIRA_z3.637557.smt2.csv,0.0022001028060913085,4.724718594551087
z3,LRA_formula_277.smt2.csv,0.0022069454193115235,4.783126902580261
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.002217006683349609,8.545481300354004
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.0023144006729125975,5.064731454849243
z3,QF_BV_bench_3176.smt2.csv,0.0021085023880004885,5.1570117473602295
z3,QF_BV_bench_935.smt2.csv,0.00239870548248291,4.748804593086243
z3,QF_LIA_tightrhombus.csv,0.00210113525390625,5.646233034133911
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0021988868713378905,4.522668194770813
z3,QF_NRA_hong_9.smt2.csv,0.002062559127807617,4.550259065628052
z3,QF_RDL_orb08_888.smt2.csv,0.002108454704284668,4.90525529384613
z3,QF_UFLIA_xs_23_43.smt2.csv,0.0021001815795898436,5.760788750648499
z3,QF_UF_PEQ018_size6.smt2.csv,0.002225446701049805,5.596995830535889
